Region,Type,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980,1979,1978,1977,1976,1975,1974,1973,1972,1971,1970,1969
Alsace,Rouge,3,3,2,4,2,3,3,4,3,3,4,2,4,2,3,2,3,4,3,2,2,2,3,2,2,3,2,4,3,3,2,1,4,2,5,3,4,2,4,2,2,5,3,-,4,-,5,3,3
Alsace,Blanc,3,3,2,4,2,3,3,4,3,3,4,2,4,2,3,2,3,4,3,2,2,2,3,2,2,3,2,4,3,3,2,1,4,2,5,3,4,2,4,2,2,5,3,-,4,-,5,3,3
Alsace,Blanc moelleux,3,3,2,4,2,3,3,4,3,3,4,2,4,2,3,2,3,4,3,2,2,2,3,2,2,3,2,4,3,3,2,1,4,2,5,3,4,2,4,2,2,5,3,-,4,-,5,3,3
Beaujolais,Rouge,4,4,5,4,2,3,5,4,5,3,3,3,5,3,4,3,3,3,3,3,3,3,4,3,3,2,3,4,4,3,2,2,3,2,4,3,3,1,2,-,-,-,-,-,-,-,-,-,-
Beaujolais,Blanc,4,4,5,4,2,3,5,4,5,3,2,3,5,3,4,3,3,3,3,3,3,3,4,3,3,2,3,4,4,3,2,2,3,2,4,3,3,1,2,-,-,-,-,-,-,-,-,-,-
Bordeaux,Rouge,3,5,4,3,1,3,3,5,5,3,3,3,5,3,4,2,4,4,3,3,2,3,4,3,3,3,2,5,4,4,2,4,4,2,3,5,4,2,4,4,1,4,5,-,3,-,4,5,1
Bordeaux,Blanc,4,2,3,4,2,3,3,4,4,2,3,4,4,4,3,4,4,3,3,3,2,3,4,3,3,3,2,4,4,4,1,3,3,2,3,3,3,1,3,3,2,4,4,-,3,-,3,3,2
Bordeaux,Blanc moelleux,4,3,5,4,3,2,4,3,4,3,4,3,4,2,5,3,5,3,4,4,5,3,4,3,1,2,1,5,5,5,3,3,3,2,3,3,3,1,3,3,2,4,4,-,3,-,3,3,2
Bourgogne,Rouge,3,3,5,4,2,3,3,4,5,3,4,3,5,3,4,4,3,3,5,4,4,3,3,3,3,3,3,4,3,3,2,2,4,3,3,3,2,3,3,5,2,4,1,-,2,-,4,3,4
Bourgogne,Blanc,4,4,4,5,3,4,3,5,3,3,3,4,5,4,3,5,2,4,3,3,3,4,3,3,4,3,3,3,4,3,2,3,3,2,4,4,3,3,5,4,3,4,3,-,4,-,4,5,4
Champagne,Blanc effervescent,2,3,5,3,3,4,4,3,5,4,3,3,3,4,3,5,1,3,3,3,3,5,3,2,2,3,2,5,3,3,1,3,3,1,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-
