Région,Type,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980,1979,1978,1977,1976,1975,1974,1973,1972,1971,1970
Abruzzes,Red,5,3,3,3,3,4,4,4,3,3,4,3,3,3,3,3,3,3,3,3,2,3,3,3,2,2,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Basilicate,Red,5,3,3,3,3,3,3,3,3,4,4,3,3,3,3,3,3,3,3,3,3,2,3,3,2,2,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Lombardie,Red,5,3,4,3,4,3,3,3,3,3,4,3,3,3,4,3,3,3,3,3,3,4,4,4,3,4,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Marches,Red,5,3,3,3,3,3,3,3,3,3,3,3,3,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Marches,Blanc,5,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,2,3,3,3,2,2,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Ombrie,Red,5,3,3,3,3,3,3,3,3,3,4,3,4,3,3,3,3,3,4,4,3,3,3,3,2,3,4,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Piémont,Red,5,4,4,4,4,4,5,4,4,4,4,4,4,3,2,3,4,3,3,4,4,3,2,3,2,2,5,5,3,2,3,4,2,2,4,2,2,3,5,1,2,1,4,2,1,4,4
Pouilles,Red,5,3,3,3,3,3,3,3,3,3,4,3,3,3,2,3,3,3,3,2,3,3,3,3,3,3,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Sardaigne,Blanc,5,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,2,2,3,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Sicile,Red,5,3,5,3,4,3,3,3,3,3,3,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Sicile,Blanc moelleux,5,3,5,3,4,3,4,4,4,4,4,4,5,4,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Toscane,Red,5,4,4,4,3,4,4,4,3,4,4,3,3,3,2,3,3,4,3,4,3,3,3,3,3,3,4,2,3,2,3,3,1,3,3,3,2,3,3,3,1,3,2,3,1,3,4
Toscane,Blanc,5,4,3,4,4,4,5,4,4,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Trentin - Haut Adige,Red,5,3,4,3,4,3,3,3,3,3,4,3,3,3,2,2,3,3,2,3,3,3,3,3,3,2,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Vénétie,Red,5,3,4,4,4,3,3,3,3,3,4,3,3,3,3,3,3,3,3,4,3,4,3,3,2,3,4,3,3,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Vénétie,Blanc,5,3,4,4,4,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
